id,text
1,li be e mih kiann lan lan san san long be tsiau tsng
2,suah ka li tim tioh
3,kiu lang ooh
4,gua khah siunn ma si tshu lai e kau a
5,si kan kau ah thang ho loh khi hioh khun
6,i iong tsue au e khui lat beh lai to hop
7,gua siunn tioh ah li tsit ma na theh khi hoo siu kuan a honnh i tsuat tui m ka lan theh e lah
8,iu ki Clinton ka tsiong kiat tai liong kam kim lian kiat khi koh khah khuah e sia hue bo ping ting e bun te
9,tak ke long kau e si lan tsiah tang tse tshut hai kuan nia hing li
10,li tsit ma tai tsi na m bian liong tsa ka gua kong
